id,name,text,trans
4001083030010,咲耶,"もうすぐかな
１駅だから、あっという間だね","We're almost there.
It's only one station, so the trip was a flash."
4001083030020,にちか,ですねー……,Right...
4001083030030,にちか,…………,............
4001083030040,off,"……この人と一緒に盛り上げるとか
難易度高ー……","...It seems pretty difficult to liven things up with
her..."
4001083030050,off,"引き立て役……
うん、それでいこ","Maybe I'll take the supporting role...
Yeah, let's do that."
4001083030060,咲耶,──にちか、どうかした？,"──Nichika, what's up?"
4001083030070,にちか,"……っ
い、いえ……","......
N-Nothing..."
4001083030080,冬優子,"電車チームが１駅移動したようです
ここでふたりは、ミッションに挑戦することになります","It looks like the train team has arrived to the 
next station. The two of them will be taking on 
the mission here."
4001083030090,冬優子,"『咲耶ちゃん、にちかちゃん
聞こえますかー？』","""Sakuya-chan, Nichika-chan, can you hear me?"""
4001083030100,咲耶,"ああ、冬優の可愛らしい声が
はっきりと聞こえるよ","Yes, I can hear Fuyu's adorable voice clearly."
4001083030110,にちか,はい、聞こえてますー,"Yes, I can hear you."
4001083030120,冬優子,『ふふっ、よかった』,"""Hehe, that's great."""
4001083030130,冬優子,『それでは、この駅でのミッションをお伝えします』,"""Now, let me reveal the mission at this station."""
4001083030140,冬優子,ミッションは────,The mission is────
4001083030150,冬優子,『カタカナ禁止食レポ』です,"""No Katakana Food Review"""
4001083030160,咲耶,『カタカナ禁止……？』,"No katakana...? "
4001083030170,冬優子,"そう！　駅の近くに、地元で人気の
自家製パンのお店があるので──","That's right! There's a local homemade bakery 
near the station──"
4001083030180,冬優子,"そのお店のパンを、
カタカナを使わずに紹介してもらいます","You will be introducing their bread without using 
katakana."
4001083030190,冬優子,"ひとりずつの挑戦で、
パンはスタッフさんが指定してくれるよ","Each person will take on the challenge, and 
the staff member will choose the bread."
4001083030200,咲耶,"『なるほど……
パンの商品名は、ほとんどがカタカナだからね』","""I see...
Most bread product names are in katakana..."""
4001083030210,咲耶,『これは難しそうだ……』,"""...so that will be quite difficult..."""
4001083030220,冬優子,ミッションクリアできるように祈ってるね！,Good luck on clearing the mission!
0000000000000,地元の人,あら、なんの撮影？,"Oh, what are you filming?"
4001083030230,咲耶,"バラエティ番組のロケをしてまして
これから自家製パンのお店にお伺いするところなんです","We're visiting a homemade bakery for a variety 
show where we travel to locations."
0000000000000,地元の人,"ああ、あそこのパンは最高よ
私はね、チーズパンが好きなの","I see. Their bread is amazing.
I love their cheese bread in particular."
4001083030240,咲耶,"フフッ、オススメありがとうございます
後でチェックしてみますね","Hehe, thank you for the recommendation.
I'll check it out later."
0000000000000,地元の人,売り切れちゃうこともあるから、早めにね,"They might sell out, so be sure to get there early."
4001083030250,咲耶,どのパンも美味しそうですね,All the breads look delicious.
0000000000000,店主,"ありがとうございます
おふたりの食レポ、楽しみにしてます","Thank you very much.
We're looking forward to your reviews."
4001083030251,咲耶＆にちか,頑張ります,I'll do my best.
4001083030260,咲耶,"さて、にちか
ここからはカタカナ禁止になるけど、大丈夫かな？","Alright, Nichika. From here on, we can't say any 
katakana. Are you ready?"
4001083030270,にちか,"あー……はは
めちゃくちゃ難しそうですよねー","Ah... haha.
That sounds so difficult."
4001083030280,咲耶,それじゃあ、私から挑戦させてもらうね,"Well then, I'll give it a try first."
0000000000000,スタッフ,"白瀬さんに挑戦いただくのは──
お店の人気メニューのひとつ、フレンチトーストです！","Shirase-san's challenge will be one of the bakery's 
most popular items: French toast!"
