id,name,text,trans
6007003090010,結華,──……,──......
0000000000000,プロデューサー,──いいステージだったな,──It was a stellar performance...
6007003090020,結華,"……プロデューサーもそう思う？
──……なのに負けちゃったなぁ……","...You think so too?
Even though I still lost in the end..."
0000000000000,プロデューサー,そういう時もある,It is what it is...
0000000000000,プロデューサー,"結華は間違いなく素晴らしかった
……ただ、その上をいく人がいただけだ","There's no doubt that you were incredible out there.
It's just... someone went even further today."
6007003090030,結華,──だったら、三峰ももっと上にいけばいい？,"──So I have to go even further than that, do I?"
0000000000000,プロデューサー,それもあるけど……,That's part of it...
0000000000000,プロデューサー,"結華がダメだったわけじゃないっていうのを、
ちゃんと認識しておいてほしい","But I want to make sure you know that you didn't
do anything wrong out there."
0000000000000,プロデューサー,俺は今日、いいものを見たよ,I witnessed something amazing in you today.
6007003090040,結華,"……あはは
負けだけど、ダメじゃない、か……──","Ahaha...
I lost, but that doesn't mean I failed... huh..."
6007003090050,結華,……難しいね,...Funny how that works.
0000000000000,プロデューサー,……,......
6007003090060,結華,"……でも、そういう評価をもらえるってことは、
ちゃんと覚えておく","......But if that's the kind of feedback I'm getting,
then I'll be sure to keep it with me."
6007003090070,結華,──それで、もっと頑張るね！,───I'll just have to push myself even harder!
info,produce_events/600700309.json,
Translator,Lewdacriz,
