id,name,text,trans
4014001000110010,甘奈,わー、ちょっとドキドキしてきたかも！,"Waa, I think my heart is thumping so loud!"
0000000000000,プロデューサー,"（緊張してるみたいだな……
なにか声をかけてあげよう）",(It seems she's really nervous... I need to say something to help her calm her down)
select,,"いつも通り
明るく行こう！","Let's be bright
as usual!"
select,,何とかなる！,Don't sweat it!
select,,流れに任せよう,"Just go with
the flow."
4014001000110020,甘奈,"えへっ☆　甘奈、笑顔なら得意だよっ！
今回も頑張ってくるね！","Ehe, I'm great at smiling, yeah!
Let's do our best for this time too!"
0000000000000,プロデューサー,（よかった、甘奈の心に余裕が生まれたようだ）,"(Thank goodness, it seems Amana's heart is calmed for now.)"
4014001000110030,甘奈,"何とかなる……か！　えへへ、そうなんだ☆
じゃあ甘奈も出たとこ勝負で頑張るよ！","Don't sweat it... okay! Ehehe, that's right! Well then, I'm gonna do the best on this one too!"
0000000000000,プロデューサー,（……少し落ち着いたかな？）,(...Has she actually feel calmed down yet?)
4014001000110040,甘奈,"ええ～っ！
もう少し具体的に何か言ってほしいかも","Ehh?
I wish you said something more specific, though."
0000000000000,プロデューサー,（うーん、あまり力になれなかったようだ）,"(Welp, that doesn't help too much.)"
info,produce_communication_cheers/401400100011.json,
译者,,
