id,name,text,trans
0000000000000,スタッフ,"風野さんー！　そろそろ本番です！
いけますか──！","Hiori-san! We're about to start!
Are you ready──!?"
1002003050010,灯織,はい！　準備できています！　すぐに行きます……！,Yes! I'm ready to go! I'll be there right away...!
0000000000000,プロデューサー,──灯織！,──Hiori!
1002003050020,灯織,"プロデューサー！
そろそろ出番みたいです",Producer! It seems like it's time for me to go out there.
1002003050030,灯織,注意した方がいいこと、何かありますか？,"Are there anything in particular I need to be 
aware of?"
0000000000000,プロデューサー,そうだな……,Hmm...
0000000000000,プロデューサー,……いや。何もない！,"...Nah, there's nothing!"
0000000000000,プロデューサー,みんなに灯織の全力を見せつけてやれ！,"Show everyone your best, Hiori!"
1002003050040,灯織,"ふふっ……できるかわかりませんが……
やってみます","Fufu... I don't know if I'm going to be able to 
do that, but... I'll try my best."
0000000000000,プロデューサー,ああ、それでいいよ,"Yeah, that's good enough."
0000000000000,プロデューサー,……,"... "
0000000000000,プロデューサー,ふっきれたみたいだな,Seems like you've finally gotten over it.
1002003050050,灯織,…………はい,...Yeah.
1002003050060,灯織,"あ、その……本当に解決したのかどうかは
わからないんですけど……","Ah, but um... I still don't know if all my worries 
are gone by now, but..."
1002003050070,灯織,今の私の中では、答えが出ました,I've got the answers I need inside of me now.
0000000000000,プロデューサー,そうか……！,Is that so...!
0000000000000,プロデューサー,"じゃあ、あとは灯織の思う通りにやるだけだ
いっておいで！","Then, all you gotta do is do what you want to do!
Go do your best out there!"
1002003050080,灯織,"ふふっ……はい！
いってきます……！","Fufu... Yes!
I'll be going!"
1002003050090,灯織,"『灯織ちゃん』
『初めてお手紙を書きました』──","""Hiori-chan.""
""This is my first time writing a letter.""──"
1002003050100,灯織,"『どうしても伝えたいことがあって』
『この前、灯織ちゃんが出ている番組を見ました』","""There's something I need to tell you no matter 
what."" ""The other day, I saw the TV show where 
you showed up."""
1002003050110,灯織,"『可愛くて、真剣で、まじめで、ストイックで、
きらきらしてて、とってもとっても眩しくて』","""You're so cute, earnest, and so serious at 
the same time... while being stoic, you sparked 
and shined so brightly there..."""
1002003050120,灯織,『私、灯織ちゃんが大好き』,"""I love you so much, Hiori-chan."""
1002003050130,灯織,『灯織ちゃんみたいなアイドルになりたいって思いました』,"""That's why, I think I want to become an Idol 
just like you."""
1002003050140,灯織,『今、歌とダンスを習っています』,"""Now, I'm starting to learn how to sing and dance."""
0000000000000,プロデューサー,"灯織がアイドルを目指そうと思った時みたいに、
今の灯織は、誰かの目標になってるんだな","Just like how you wanted to become and Idol back 
then, it seems like you became someone else's 
inspiration this time."
0000000000000,プロデューサー,"灯織が誰かに輝きを届けて、
その輝きを見た誰かが、また輝きを届けようと頑張ってる","As you send your radiance to someone else, 
that person who saw that radiance is also doing 
their best to spread it again."
1002003050150,灯織,"誰かに追いかけてもらえるようなことは、
まだまだ全然、できてないと思うんですけど……","I don't think I've done anything yet that would make 
someone else make me as their goal, though..."
1002003050160,灯織,でも、すごく……,"But, I feel..."
1002003050170,灯織,すごく、嬉しいです,I feel really happy.
1002003050180,灯織,今までやってきたことが、間違っていなかったって,"I feel really happy that the things I've done until 
today isn't wrong after all."
1002003050190,灯織,この手紙は、そういうことだと思うので,"I think this letter is proof of that, so..."
1002003050200,灯織,…………,......
1002003050210,灯織,私……,I...
1002003050220,灯織,"今なら、自分のこと
少しだけ肯定できます……","I think I can...
Accept myself a little bit more now."
0000000000000,プロデューサー,……少しだけでいいのか？,...Just a little bit?
1002003050230,灯織,はい、少しだけです,"Yes, just a little bit. "
1002003050240,灯織,だって、まだ歩き始めたばかりですから,"I mean, I've just started walking now, right?"
1002003050250,灯織,ずっと続いていく道の、本当に最初なんです,"I'm right at the start of this path I'm walking on 
from now."
1002003050260,灯織,もっともっと、届けていきたい……,I want to reach more and more people.
0000000000000,プロデューサー,ああ,Yeah.
0000000000000,プロデューサー,"俺もさ
灯織がアイドルを続ける限りプロデューサーでいるから","Me too.
As long as you're an Idol, I'll always continue 
being a Producer."
0000000000000,プロデューサー,"よかったら、
いつか灯織が歩くのを止めるその時まで、ずっと","So, if it's alright with you...
Until you stop walking on this path..."
0000000000000,プロデューサー,一緒に歩かせてほしい,"Please let me walk alongside you forever from 
now on."
1002003050270,灯織,プロデューサー……,Producer...
1002003050280,灯織,"もちろんです
プロデューサー以外の人は、嫌ですからね","Of course!
I don't want to walk with anyone else but 
you, after all."
1002003050290,灯織,これからも、よろしくお願いします,Please take care of me from now on.
0000000000000,プロデューサー,こちらこそだ！,Please take care of me too!
0000000000000,プロデューサー,たくさんの人に、輝きを届けていこう,Let's send your radiance to a lot of people.
1002003050300,灯織,はい……！,Yes...!
0000000000000,プロデューサー,ともあれ、まずはその手紙だな,"Anyhow, what are you going to do with that letter?"
0000000000000,プロデューサー,"返事、するんだろ？
なんて書こうと思ってるんだ？","You're going to reply, right?
What are you going to write?"
1002003050310,灯織,そうですね────,Hmm... I think I...────
info,produce_events/100200305.json,
Translator,bike,
