id,name,text,trans
6006001060010,咲耶,"私が、優勝できるなんて……
想像以上の喜びが胸からあふれてくるよ……",I was able to win the whole thing... my heart's about to burst with joy...
0000000000000,プロデューサー,咲耶、本当によくがんばったな！,"Sakuya, you really managed to do it!"
6006001060020,咲耶,"優勝できたのも、プロデューサーのおかげだ
……ありがとう",It's also thank to Producer that I was able to win the championship... thank you.
0000000000000,プロデューサー,"いや、俺は何も……
咲耶ががんばったからだよ","No, I didn't do anything... it's because you gave it your all."
6006001060030,咲耶,"そんなことはないさ
プロデューサーがいなかったら今の私はなかっただろう",That's not it. I wouldn't be here if it wasn't for you.
6006001060040,咲耶,"この優勝は私とプロデューサー
それにファンのみんなで掴んだんだ","This win is something that you and I, and all of the fans seized together."
0000000000000,プロデューサー,ああ……,Yeah...
6006001060050,咲耶,"でも、これで終わりじゃない
私はもっと多くの人を喜ばせたいんだ！","But, this isn't the end. I want to delight even more people!"
6006001060060,咲耶,"だから、これからもよろしく頼むよ
プロデューサー！","So I'll ask you to please continue to take care of me, Producer!"
0000000000000,プロデューサー,ああ！　一緒にがんばっていこうな！,"Right! Let's do our best together, then!"
info,produce_events/600600106.json,
Translator,Batsu,
