id,name,text,trans
4006001000120010,咲耶,"もうすぐ出番だね……
……私らしくないな、少し緊張してしまっているようだ……","It's nearly my turn... Unlike my usual self, it seems I'm 
a little nervous..."
0000000000000,プロデューサー,（咲耶にしては珍しいな……こういう時は……）,(That's unusual for Sakuya... at times like this...)
select,,考えなくていい,"Just don't think
about it."
select,,咲耶を信頼してるぞ,I trust you.
select,,大丈夫だ！,You'll be okay!
4006001000120020,咲耶,"そうか……私にできる全力を出すだけ、ということだね？
……うん、それならやれそうだよ","I see... You're saying just to give it everything I've 
got, huh...? Yeah, then I'll just do it."
0000000000000,プロデューサー,（いい表情だ……これなら大丈夫だろう）,(There's a good expression... she'll be fine now.)
4006001000120030,咲耶,フフ、うれしい言葉だな。ありがとう,"Haha, those words make me happy. Thanks."
0000000000000,プロデューサー,（だいぶ不安が和らいだようだ）,(It seems her stress has eased considerably.)
4006001000120040,咲耶,どんと構えてくれるのはありがたいね,I'm grateful for all of your support.
0000000000000,プロデューサー,（まだ、笑顔が硬いな……）,(Her smile still seems stiff...)
info,produce_communication_cheers/400600100012.json,
Translator,Batsu,
