id,name,text,trans
3027002020010,羽那,"はるきちゃん、
昨日ツイスタにあげてた写真、可愛かったね","Haruki-chan! The photo you posted on Twesta 
yesterday was so cute!"
3027002020020,はるき,ふふ、ありがとう～,"Fufu, thanks～"
3027002020030,はるき,"あのストラップ、ハンドメイドのもので
届くまで１ヶ月待ったからうれしくって……！","That strap is handmade. I was so happy because 
I waited a month for it to arrive...!"
3027002020040,羽那,えーっ、そうなんだ──！,"Eeeh, I see──!"
3027002020050,はるき,"羽那ちゃんはツイスタ、
最近更新してないよね？","You haven't updated your Twesta recently, 
have you?"
3027002020060,羽那,"うん
あんまり書きたい話題とかがなくって","Yeah, I don't really have anything I want to write 
about."
3027002020070,はるき,"そっかぁ～
わたしも羽那ちゃんの新しい投稿、見たいなぁ","I see～
I want to see your new posts too, Hana-chan!"
3027002020080,羽那,あはっ、ありがとう,"Aha, thanks."
3027002020090,羽那,"はるきちゃんが待ってくれてるなら
更新、頑張ろうかな？","If you're waiting for my posts, guess I'll have to try 
my best to update, huh?"
3027002020100,はるき,"わぁ……！
ふふっ","Waa...!
Fufu."
3027002020110,羽那,"でも書くこと……
んー……","But what to write about...
Hmm..."
3027002020120,羽那,みんな、どんなこと書いてるんだろう？,I wonder what everyone else is writing?
3027002020130,はるき,そうだねぇ……,I wonder...
3027002020140,はるき,"うーん……
自撮りとか、趣味のお話が多いかも","Hmmm...
Maybe write about something like hobbies or 
take some selfies."
3027002020150,羽那,そっかー,I see.
3027002020160,はるき,"……
羽那ちゃんの趣味って──","...
What are your hobbies, Hana-chan──"
3027002020170,羽那,あはっ、散歩とか？,"Aha, maybe taking walks?"
3027002020180,羽那,"『今日はここを散歩しました』
みたいなのがいいかな？","How about something like ""I took a walk here today""?
Would that be good?"
3027002020190,はるき,うん、でも──,Maybe not──
3027002020200,はるき,"それは、羽那ちゃんのお散歩コースが
みんなに知られて危ないんじゃないかなぁ","It might be dangerous if everyone knew where you 
were walking."
3027002020210,羽那,そうなの？,Really?
3027002020220,はるき,"うん
『今ここにいるよ』って投稿するのは避けようね……！","Yeah.
Let's not post things like ""I'm here now""...!"
3027002020230,羽那,あはっ、わかったー,"Aha, got it."
3027002020240,羽那,────あ,──Ah.
3027002020250,ルカのSNS投稿,『風つよくて』,"""The wind is strong"""
3027002020260,ルカのSNS投稿,『流される』──────,"""Carried away""──"
3027002020270,羽那,ルカちゃん、ツイスタ更新してる,Looks like Luca-chan's updating her Twesta.
3027002020280,はるき,"それ、わたしもさっき見たよ～
１時間くらい前のやつだよね？","I saw that too just now～
Looks like it was posted about an hour ago?"
3027002020290,羽那,うん,Yeah.
3027002020300,羽那,いいねしておこーっ,Let's give it a Like!
3027002020310,はるき,えっ,Eh.
3027002020320,羽那,"？
どうしたの？","?
What's up?"
3027002020330,はるき,"あ、ううん……！
羽那ちゃん、すごいなぁ","Ah, nothing...!
You sure are amazing."
3027002020340,羽那,……？,...?
3027002020350,はるき,"わたし、ルカちゃんとか……
２８３の先輩たちの投稿に、まだいいねしてなくて……","Well, you see... I haven't liked any of the 283Pro 
seniors' posts yet. Not even Luca-chan's."
3027002020360,羽那,"そうなんだ
どうして？","So that's why.
How come?"
3027002020370,はるき,"だって、まだ事務所の人たちとちゃんと
お話してないから、びっくりされるかなって","Since I haven't had the chance to properly talk with 
everyone at the office yet, I thought they might be 
surprised..."
3027002020380,はるき,いいねって、通知行くから──,"If I had sent them a Like and they would get a 
notification."
3027002020390,羽那,なるほどー,I understand.
3027002020400,羽那,"でも、ルカちゃんは同じユニットだし
もう知ってもらえてるってことでいいんじゃないかな？","But Luca-chan is in the same unit as us, so it's safe 
to say she already knows us, right?"
3027002020410,羽那,あと、たぶん気にしなさそう──！,"Besides, she probably won't mind──!"
3027002020420,羽那,それに、あたしも今いいねしたし──,I've even liked it too──
3027002020430,羽那,"このタイミングで、
はるきちゃんもいいねするのはどう？","How about you give it a Like too, Haruki-chan?"
3027002020440,はるき,……！,......!
3027002020450,はるき,"──ふふっ
いいかも……！","──Fufu.
Guess I can...!"
3027002020460,はるき,"わたしも、ルカちゃんの投稿に
いいね、します……！",I'll go give Luca's post a Like too...!
3027002020470,羽那,"わーっ、ふふっ
頑張れー","Waaa, fufu.
Go for it!"
3027002020480,はるき,──えいっ,──Ei!
3027002020490,はるき,──……,──...
3027002020500,はるき,"ふふ～
初いいねしちゃった……！","Fufu～
I just gave my first Like...!"
3027002020510,羽那,あはっ、じゃあ次はコメントでもする？,"Aha, how about leaving a comment next?"
3027002020520,はるき,それは──,That's──
3027002020530,はるき,また今度にしよっか……！,Let's save it for next time...!
info,produce_events/302700202.json,
Translator,Burbur,
