id,name,text,trans
2028009020010,はるき,"──ここは、子どもの時から何度も来てて
思い出の場所なんです","──This place is full of memories.
I've been here many times since I was a child."
2028009020020,はるき,"当時の自分にとって
ここは別世界の入り口みたいで──","At the time, it seemed like a gateway to another 
world to me."
0000000000000,プロデューサー,"特集ページ、巻頭じゃないまでも二番手の扱いだし
ページもたくさんいただけそうだよ","The feature page might not be the front, but it's 
the second best. I'm sure you'll get a lot of coverage."
2028009020030,はるき,"本当ですか……！
記事、楽しみですねぇ","Really...?!
I'm looking forward to reading it."
0000000000000,プロデューサー,"あの美術館は
はるきの『聖地』になるかもしれないぞ","That museum might just become your ""holy land"", 
Haruki."
2028009020040,はるき,いえ、そんな……,I doubt it...
2028009020050,はるき,"でも、あそこは……わたしの原点のひとつですから
自分のことを話すには、外せない気がして","But it's one of my origin places... 
I feel like I can't leave it out when talking about 
myself."
2028009020060,はるき,"──打ち明けるのに、
ずいぶん時間かかっちゃいましたけど","──Sorry that it took me a lot of time to open up to 
you."
0000000000000,プロデューサー,"……うん
よかったんじゃないか。今がタイミングだったんだよ","...Yeah. I'm glad you did though. 
Now was the right time."
0000000000000,プロデューサー,──────……,──......
2028009020070,はるき,"あの、プロデューサーさん
わたしのことで、いろいろ無理してないですよね？","Hey, Producer-san.
I hope you're not overdoing it for me, okay?"
0000000000000,プロデューサー,"──あ、すまん。なんでもないんだ
ちょっと別件で考え事をな","──Ah, sorry. It's nothing.
I was thinking about something else."
2028009020080,はるき,…………,......
2028009020090,はるき,"……あっ、観覧車がありますね、ここ
いいなぁ────","... Ah, there's a ferris wheel here.
How nice──"
2028009020100,はるき,この辺りって……！,Around here...!
0000000000000,プロデューサー,──どうかしたか？,──What's wrong?
2028009020110,はるき,やっぱり……！,I knew it...!
2028009020120,はるき,"プロデューサーさん、覚えてますか
ここ……昔仕事で来たことあって","Producer-san, do you remember this place?
I came here for work a long time ago."
0000000000000,プロデューサー,"ああ、覚えてるよ
あの時は確か、電車だったか","Yeah, I remember.
I was on the train back then."
2028009020130,はるき,"あ、でも──
あの駅────……","Ah, but──
That station──..."
0000000000000,プロデューサー,…………本当に、廃線になったんだなぁ,"...It actually became defunct, huh."
2028009020140,はるき,"……はい
たった３、４年で、こんなにさびれちゃうんですね","...It did.
It's been only 3 or 4 years and it became desolate."
2028009020150,はるき,……でも、駅は待ってるみたいですね,...But it looks like it's still waiting for us.
2028009020160,はるき,誰かが、電車が、来るのを──,Someone actually saw a train coming──
0000000000000,プロデューサー,……そんなところに、はるきが来てくれた,...And then you came along.
2028009020170,はるき,でも…………まだ足りないみたい,But... It's still not enough.
2028009020180,はるき,"……やっぱり、プロデューサーさん
今日、元気がないですよね","...I knew it. You don't seem to be in a good mood 
today, Producer-san."
0000000000000,プロデューサー,"え────
そうかな","Huh──
I guess."
2028009020190,はるき,７年も一緒にいるんですよ？,"We've been a team for seven years now, haven't we?"
2028009020200,はるき,"最初はわたしもまだ高校生で、何もわからなくて
何もできなかったですけど","When I began, I was still in high school.
I didn't know what to do, so I couldn't do anything."
2028009020210,はるき,"今は……少しくらい
プロデューサーさんの力になれると思いますよ","Right now...
I think I can be of some assistance to you."
0000000000000,プロデューサー,……ありがとう、はるき,"... Thank you, Haruki."
0000000000000,プロデューサー,"確かに、今ちょっと落ちこんでる
でも、これははるきのこととは関係なくて────","I have to admit, I'm feeling a bit down right now.
But it has nothing to do with you, Haruki──"
0000000000000,プロデューサー,俺が解決しなきゃいけないことなんだ,It's something that I have to figure out.
2028009020220,はるき,"………………
わかりました","......
I understand."
2028009020230,はるき,"じゃあ、せめて──
今を、楽しみましょうか","Then atleast──
Let's enjoy the moment."
